age,gender,country,account_age_months,subscription_type,monthly_fee,primary_device,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,days_since_last_login,churned,churn_probability,risk_segment
42,Male,Germany,12,Standard,14.54,Laptop,109,5,1,21,25,1,0.719059897,High Risk
43,Female,Germany,38,Basic,11.89,Smart TV,587,19,2,23,36,0,0.253224722,Low Risk
56,Female,France,58,Standard,13.57,Laptop,340,15,14,36,1,0,0.013812054,Low Risk
25,Female,Spain,7,Standard,13.89,Smart TV,217,4,11,77,5,0,0.043209267,Low Risk
36,Female,Brazil,10,Basic,11.37,Mobile,600,16,11,49,14,0,0.021960766,Low Risk
64,Female,USA,59,Basic,11.77,Smart TV,284,14,1,47,1,0,0.048850371,Low Risk
59,Male,USA,39,Basic,10.64,Mobile,600,13,14,26,13,0,0.035940426,Low Risk
39,Female,Germany,37,Basic,8.3,Mobile,600,17,6,35,43,0,0.210212307,Low Risk
46,Female,Canada,3,Standard,15.79,Laptop,53,1,11,80,15,1,0.381687938,Medium Risk
50,Male,France,54,Standard,16.45,Smart TV,89,4,9,60,57,1,0.911993609,Critical Risk
55,Male,USA,47,Basic,9.29,Laptop,275,13,1,39,51,0,0.516869682,Medium Risk
62,Male,France,29,Basic,11.2,Laptop,552,11,2,32,10,0,0.087683746,Low Risk
63,Male,Spain,38,Basic,11.7,Laptop,472,10,14,38,58,1,0.591724981,Medium Risk
52,Male,UK,24,Standard,13.42,Laptop,512,10,2,93,54,0,0.485987426,Medium Risk
60,Female,France,53,Premium,18.06,Mobile,104,5,6,28,3,0,0.171091523,Low Risk
20,Female,Mexico,17,Basic,10.47,Laptop,353,15,11,90,40,0,0.025408136,Low Risk
36,Male,USA,3,Standard,15.85,Laptop,55,1,6,60,18,0,0.422194343,Medium Risk
27,Female,USA,9,Basic,8.28,Laptop,487,18,12,91,25,0,0.007744184,Low Risk
44,Female,France,26,Standard,14.95,Mobile,350,10,10,79,57,1,0.446304639,Medium Risk
32,Male,France,47,Premium,21.24,Tablet,457,18,14,38,55,0,0.267243668,Low Risk
28,Male,Germany,14,Standard,16.58,Tablet,579,10,7,42,34,1,0.506390731,Medium Risk
64,Male,Spain,50,Basic,10.47,Tablet,503,11,4,92,52,0,0.431022064,Medium Risk
43,Female,Australia,7,Standard,13.12,Mobile,40,1,13,67,22,0,0.211741653,Low Risk
41,Male,India,13,Premium,18.18,Smart TV,342,17,9,87,34,0,0.114345804,Low Risk
30,Male,USA,23,Standard,14.05,Tablet,403,8,3,39,31,1,0.522014683,Medium Risk
49,Male,Canada,4,Basic,9.63,Smart TV,178,3,0,63,26,1,0.682368574,High Risk
54,Female,Mexico,37,Standard,15.8,Mobile,318,14,12,94,58,1,0.522213285,Medium Risk
21,Female,Germany,29,Basic,10.56,Mobile,491,15,11,62,23,0,0.006715011,Low Risk
30,Male,Canada,33,Premium,19.2,Tablet,600,17,0,71,56,0,0.366522551,Medium Risk
26,Female,Brazil,21,Standard,15.93,Smart TV,143,5,6,72,4,0,0.116969958,Low Risk
51,Male,Germany,48,Standard,15.7,Tablet,50,2,11,23,8,1,0.382507491,Medium Risk
54,Female,Mexico,50,Premium,20.01,Mobile,86,2,6,43,30,1,0.874297717,Critical Risk
24,Male,France,19,Basic,9.47,Laptop,323,11,11,61,49,0,0.174619371,Low Risk
18,Male,USA,5,Basic,11.87,Laptop,560,11,0,56,7,0,0.070763089,Low Risk
29,Female,Canada,15,Basic,8.22,Mobile,103,4,7,41,26,1,0.656245026,High Risk
38,Female,Canada,46,Standard,13.76,Tablet,235,9,8,97,51,0,0.330760923,Medium Risk
28,Male,UK,40,Premium,20.79,Mobile,287,7,5,97,56,1,0.674354121,High Risk
61,Male,USA,39,Standard,13,Mobile,212,10,4,72,13,0,0.075624977,Low Risk
61,Male,Mexico,42,Basic,10.15,Tablet,439,10,13,83,28,0,0.035879432,Low Risk
61,Female,Germany,4,Premium,21.69,Smart TV,109,2,10,53,26,1,0.606021676,High Risk
31,Male,France,24,Premium,19.18,Mobile,288,14,12,35,3,0,0.035007549,Low Risk
51,Female,India,50,Standard,13.5,Laptop,468,10,4,69,28,1,0.248543257,Low Risk
51,Female,Mexico,45,Premium,18.51,Tablet,436,8,6,61,42,1,0.754499855,High Risk
42,Male,India,49,Premium,21.2,Mobile,214,5,6,37,15,0,0.246442108,Low Risk
21,Female,Spain,55,Standard,15.06,Tablet,209,9,7,36,49,1,0.872044863,Critical Risk
43,Male,USA,47,Basic,11.53,Laptop,212,6,0,91,56,1,0.815193077,Critical Risk
33,Female,France,40,Standard,13.29,Tablet,219,5,7,36,54,1,0.889800578,Critical Risk
27,Female,Mexico,47,Standard,16.28,Tablet,600,17,13,85,13,0,0.003368089,Low Risk
62,Male,Germany,34,Standard,16.57,Tablet,436,14,0,93,19,0,0.04051482,Low Risk
19,Male,UK,20,Basic,9.95,Laptop,97,2,4,25,26,1,0.645668549,High Risk
52,Female,UK,50,Standard,13.81,Mobile,241,10,14,50,26,0,0.07158286,Low Risk
36,Male,Germany,58,Standard,15.84,Smart TV,600,19,10,38,56,1,0.492543913,Medium Risk
23,Female,Spain,17,Standard,16.94,Mobile,600,18,11,71,52,0,0.080479253,Low Risk
36,Male,UK,13,Basic,9.67,Laptop,303,12,7,78,46,0,0.350266626,Medium Risk
25,Male,USA,30,Premium,18.51,Laptop,600,17,4,90,20,0,0.012103982,Low Risk
31,Female,UK,1,Standard,14.53,Smart TV,208,5,13,84,58,1,0.761209601,High Risk
27,Female,Canada,8,Standard,15.55,Laptop,282,8,2,24,32,1,0.645866085,High Risk
20,Male,UK,18,Premium,21.47,Tablet,372,13,6,59,26,0,0.119726708,Low Risk
55,Female,Germany,1,Basic,11.79,Smart TV,272,7,8,72,58,1,0.812182302,Critical Risk
46,Male,UK,20,Basic,9.46,Mobile,511,18,14,96,49,0,0.065588734,Low Risk
32,Male,India,37,Premium,20.09,Mobile,319,8,4,59,52,1,0.916588218,Critical Risk
40,Male,USA,39,Standard,13.45,Tablet,325,14,8,64,3,0,0.015978024,Low Risk
40,Female,UK,37,Standard,15.69,Smart TV,333,6,13,23,36,1,0.52395722,Medium Risk
35,Male,USA,5,Basic,9.08,Tablet,256,5,7,52,19,0,0.122092383,Low Risk
63,Female,Mexico,26,Standard,13.52,Smart TV,161,3,7,37,54,1,0.952421774,Critical Risk
36,Female,Germany,42,Premium,19.42,Mobile,600,15,2,43,48,1,0.729331522,High Risk
45,Male,UK,54,Basic,8.93,Laptop,255,8,6,30,14,0,0.083002566,Low Risk
43,Female,UK,22,Standard,14.79,Tablet,466,9,6,76,29,0,0.131392287,Low Risk
27,Female,France,57,Premium,18.6,Tablet,38,1,0,60,33,1,0.909277736,Critical Risk
64,Female,USA,26,Standard,15.76,Tablet,600,18,11,51,35,0,0.095551564,Low Risk
21,Female,USA,6,Standard,15.45,Tablet,600,18,0,21,10,0,0.088708483,Low Risk
19,Male,France,57,Standard,16.34,Laptop,212,4,0,57,27,1,0.723862148,High Risk
20,Female,Spain,8,Basic,11.44,Mobile,153,5,10,27,8,1,0.270194721,Low Risk
24,Female,Spain,48,Premium,18.45,Tablet,578,14,11,57,28,0,0.024621457,Low Risk
33,Female,Mexico,39,Standard,16.93,Mobile,317,7,2,83,55,0,0.634549158,High Risk
48,Female,Brazil,51,Premium,19.39,Laptop,34,1,7,99,8,0,0.162874935,Low Risk
27,Male,Mexico,9,Standard,14.88,Tablet,586,19,12,94,8,0,0.01263936,Low Risk
36,Male,Mexico,7,Premium,20.43,Mobile,537,10,5,87,9,0,0.058082106,Low Risk
45,Male,Australia,26,Premium,21.94,Tablet,116,2,6,27,15,0,0.335940562,Medium Risk
34,Female,Mexico,41,Standard,16.54,Laptop,600,11,9,67,31,0,0.042932265,Low Risk
45,Female,France,44,Standard,14.09,Laptop,98,4,5,46,20,1,0.536521477,Medium Risk
36,Male,Mexico,18,Premium,20.93,Smart TV,356,11,3,53,12,0,0.056556366,Low Risk
54,Male,France,34,Standard,15.43,Tablet,516,15,8,67,39,0,0.060881219,Low Risk
40,Female,Brazil,24,Standard,13.11,Mobile,132,3,0,32,24,1,0.677626011,High Risk
37,Male,Australia,1,Standard,14.56,Laptop,298,14,0,96,24,0,0.145990916,Low Risk
30,Male,Spain,43,Standard,14.04,Smart TV,533,9,4,91,32,0,0.132336873,Low Risk
30,Male,USA,5,Premium,21.11,Mobile,600,13,14,93,39,0,0.066472739,Low Risk
60,Female,India,33,Premium,20.41,Mobile,453,16,9,68,54,0,0.135596788,Low Risk
28,Male,Canada,56,Standard,16.87,Laptop,343,10,13,26,54,1,0.759364569,High Risk
32,Male,USA,54,Basic,10.54,Tablet,123,3,0,62,58,1,0.935781034,Critical Risk
34,Female,India,56,Basic,11.29,Mobile,354,12,9,79,38,0,0.135466414,Low Risk
45,Female,Spain,49,Standard,15.3,Mobile,584,19,6,56,23,0,0.028246879,Low Risk
36,Male,Spain,16,Basic,9.58,Mobile,122,3,8,77,52,1,0.793242678,High Risk
21,Female,UK,33,Standard,16,Smart TV,401,10,9,53,41,1,0.568169794,Medium Risk
39,Female,UK,25,Standard,13.61,Smart TV,511,14,5,92,57,0,0.321164969,Medium Risk
39,Female,Australia,23,Premium,21.13,Tablet,463,11,11,88,30,0,0.031307779,Low Risk
54,Female,Canada,6,Basic,11.49,Mobile,600,18,6,79,16,0,0.006500577,Low Risk
56,Female,France,30,Standard,15.04,Smart TV,394,7,0,42,3,0,0.22699086,Low Risk
51,Female,Spain,3,Standard,15.12,Laptop,600,11,8,73,12,0,0.014761848,Low Risk
50,Male,Australia,58,Basic,10.45,Tablet,600,14,10,27,8,0,0.022120716,Low Risk
61,Female,India,19,Basic,8.2,Mobile,600,16,1,34,11,0,0.043719474,Low Risk
59,Female,Canada,30,Basic,10.78,Tablet,257,9,11,31,16,0,0.137861979,Low Risk
57,Male,India,40,Basic,9.24,Smart TV,600,16,3,98,47,0,0.143603861,Low Risk
50,Male,France,24,Standard,15.11,Tablet,149,4,12,88,6,0,0.030226936,Low Risk
29,Male,Spain,46,Standard,15.74,Mobile,600,19,0,94,32,0,0.059582151,Low Risk
19,Male,France,42,Premium,20.29,Laptop,468,8,9,91,55,0,0.502182262,Medium Risk
45,Female,Spain,29,Standard,14.31,Laptop,480,14,10,27,47,0,0.196990886,Low Risk
27,Female,Brazil,17,Standard,15.31,Smart TV,211,4,7,64,1,0,0.078242988,Low Risk
39,Male,Brazil,38,Basic,10.52,Smart TV,397,11,0,82,22,0,0.074147414,Low Risk
34,Male,UK,41,Standard,13.43,Laptop,246,9,6,76,32,1,0.221581178,Low Risk
43,Other,Canada,25,Premium,18.45,Tablet,292,9,7,96,13,0,0.040297109,Low Risk
20,Female,Canada,46,Premium,20.41,Smart TV,600,16,4,30,2,0,0.07580305,Low Risk
24,Female,Brazil,46,Basic,11.61,Mobile,541,10,12,61,59,0,0.505042192,Medium Risk
61,Male,India,44,Basic,8.81,Mobile,464,8,4,54,48,1,0.793932949,High Risk
25,Female,Spain,1,Premium,20.74,Tablet,246,10,1,50,5,0,0.129422838,Low Risk
37,Female,Brazil,16,Standard,16.49,Tablet,364,7,14,67,55,1,0.688708832,High Risk
29,Male,Canada,12,Premium,19.8,Laptop,267,8,8,75,21,0,0.082410435,Low Risk
52,Male,Brazil,11,Premium,21.65,Mobile,120,3,4,98,26,0,0.282151077,Low Risk
34,Male,France,10,Premium,18.36,Laptop,144,4,3,84,54,1,0.891884869,Critical Risk
45,Male,Canada,52,Basic,11.52,Tablet,391,12,12,94,34,0,0.031284922,Low Risk
58,Other,France,3,Premium,21.2,Tablet,204,7,1,23,16,1,0.611075339,High Risk
27,Male,USA,29,Standard,15.31,Laptop,257,6,14,78,56,1,0.684315736,High Risk
39,Female,Canada,34,Basic,9.2,Smart TV,292,13,10,24,26,0,0.100526819,Low Risk
55,Female,Germany,31,Basic,11.18,Mobile,413,7,3,36,50,1,0.907136589,Critical Risk
50,Male,Australia,4,Standard,14.89,Mobile,384,13,8,71,49,0,0.305321672,Medium Risk
39,Female,Germany,32,Basic,9.06,Laptop,418,8,11,74,59,1,0.711630245,High Risk
61,Male,Germany,47,Standard,15.52,Mobile,358,9,3,80,58,1,0.823949365,Critical Risk
54,Male,Brazil,3,Standard,16.66,Tablet,382,16,0,88,10,0,0.042214245,Low Risk
30,Other,USA,45,Standard,16.76,Mobile,314,7,8,81,10,0,0.056054643,Low Risk
44,Male,Brazil,50,Basic,9.66,Tablet,347,8,12,55,53,0,0.457288328,Medium Risk
32,Male,Mexico,36,Standard,14.88,Laptop,600,17,14,73,35,0,0.015803316,Low Risk
39,Female,Spain,18,Premium,20.86,Mobile,468,11,11,34,30,0,0.109125887,Low Risk
47,Female,Mexico,38,Premium,21.88,Laptop,600,14,9,43,27,0,0.07290028,Low Risk
60,Female,USA,58,Standard,14.37,Smart TV,151,5,8,62,5,0,0.119754495,Low Risk
57,Female,India,22,Basic,8.28,Mobile,600,13,13,88,13,0,0.017681167,Low Risk
54,Male,USA,48,Premium,20.25,Laptop,489,10,0,73,26,0,0.222575236,Low Risk
51,Female,France,46,Standard,14.44,Smart TV,600,13,3,31,18,0,0.142063898,Low Risk
61,Female,Australia,5,Basic,11.94,Smart TV,600,17,12,64,59,1,0.477675654,Medium Risk
51,Male,Canada,44,Standard,14.23,Tablet,220,8,3,22,28,1,0.574040964,Medium Risk
52,Female,USA,21,Basic,10.23,Mobile,39,1,0,92,47,1,0.863130612,Critical Risk
59,Male,Germany,5,Basic,8.37,Laptop,600,17,9,64,12,0,0.01560835,Low Risk
36,Male,France,56,Premium,19.93,Smart TV,502,9,11,90,40,0,0.144816986,Low Risk
25,Male,Australia,56,Basic,9.21,Smart TV,126,5,2,91,20,0,0.116981595,Low Risk
56,Female,Germany,26,Standard,13.49,Tablet,51,2,14,28,4,0,0.251998634,Low Risk
50,Female,India,22,Basic,9.46,Laptop,600,16,2,41,2,0,0.0394169,Low Risk
61,Female,India,9,Standard,15.56,Smart TV,350,6,6,82,35,1,0.508491341,Medium Risk
45,Female,Germany,22,Standard,16.38,Smart TV,195,6,9,73,56,0,0.61945884,High Risk
54,Male,France,57,Basic,10.28,Mobile,600,19,12,74,13,0,0.002122588,Low Risk
42,Male,UK,45,Premium,18.75,Tablet,165,3,11,85,58,1,0.714097333,High Risk
53,Other,Mexico,12,Basic,10.27,Tablet,491,9,9,29,38,0,0.324248398,Medium Risk
34,Female,France,42,Basic,10.42,Tablet,228,4,4,84,25,1,0.419754838,Medium Risk
41,Male,India,55,Premium,19.48,Laptop,198,4,12,59,55,1,0.817297172,Critical Risk
38,Female,Brazil,13,Standard,16.4,Laptop,258,5,12,52,59,1,0.840888387,Critical Risk
19,Male,Mexico,39,Standard,15.02,Tablet,600,14,9,63,9,0,0.007411955,Low Risk
48,Male,UK,20,Basic,11.33,Tablet,101,2,1,34,33,1,0.858812172,Critical Risk
61,Female,Mexico,57,Premium,20.21,Smart TV,600,19,4,84,49,0,0.268967713,Low Risk
50,Female,USA,5,Standard,15.97,Laptop,600,13,4,22,33,1,0.550714874,Medium Risk
47,Male,UK,3,Standard,16.5,Tablet,377,18,11,89,42,0,0.131591711,Low Risk
29,Male,UK,53,Basic,11.73,Mobile,138,3,2,65,9,0,0.108968757,Low Risk
61,Male,USA,20,Standard,14.4,Smart TV,157,4,5,78,26,0,0.227984455,Low Risk
29,Female,Brazil,15,Basic,9.61,Tablet,192,9,4,58,41,1,0.752490244,High Risk
41,Female,USA,28,Basic,8.88,Tablet,30,1,10,73,0,0,0.073269488,Low Risk
41,Female,UK,5,Basic,11.42,Smart TV,303,11,10,24,40,1,0.468026645,Medium Risk
28,Female,Australia,56,Premium,18.05,Tablet,600,16,1,85,1,0,0.033598169,Low Risk
30,Male,UK,51,Standard,14.28,Tablet,600,16,8,33,48,1,0.341356264,Medium Risk
44,Female,UK,30,Standard,13.23,Smart TV,397,16,14,77,50,0,0.125821063,Low Risk
25,Female,India,14,Standard,16,Mobile,391,11,2,30,48,1,0.790986952,High Risk
27,Male,USA,1,Premium,20.35,Smart TV,519,11,10,40,43,0,0.358297409,Medium Risk
25,Male,Germany,59,Standard,16.54,Tablet,219,6,9,71,57,1,0.730188327,High Risk
37,Other,Australia,46,Basic,9.6,Tablet,291,8,5,57,47,1,0.778664846,High Risk
25,Female,USA,43,Basic,8.99,Smart TV,600,17,11,51,26,0,0.022861306,Low Risk
26,Female,Canada,7,Premium,21.05,Laptop,451,15,3,23,5,0,0.106921439,Low Risk
24,Male,Brazil,28,Basic,10.33,Smart TV,434,12,0,33,59,1,0.805500997,Critical Risk
31,Male,Australia,29,Standard,16.76,Mobile,281,6,10,58,46,0,0.517227131,Medium Risk
45,Female,India,51,Premium,18.96,Mobile,309,15,1,89,56,1,0.604694774,High Risk
19,Female,India,8,Standard,16.19,Laptop,344,9,5,27,19,0,0.154186902,Low Risk
60,Male,Canada,21,Premium,21.8,Mobile,89,2,7,88,4,0,0.077006659,Low Risk
25,Male,France,38,Basic,11.09,Smart TV,168,3,12,46,11,0,0.204770118,Low Risk
30,Female,USA,35,Basic,10.63,Tablet,600,19,10,41,20,0,0.022948418,Low Risk
38,Male,Australia,42,Basic,8.64,Mobile,279,9,10,74,37,0,0.148661757,Low Risk
64,Female,Canada,52,Basic,9.85,Mobile,33,1,13,86,23,0,0.116886084,Low Risk
45,Male,Brazil,27,Premium,19.13,Smart TV,489,9,2,27,14,0,0.214713663,Low Risk
52,Female,Canada,50,Premium,20.22,Tablet,170,6,10,62,35,1,0.4163742,Medium Risk
40,Female,UK,12,Standard,13.16,Smart TV,222,7,0,51,57,1,0.891037025,Critical Risk
63,Male,France,54,Standard,16.97,Mobile,257,6,5,40,3,0,0.178084143,Low Risk
32,Male,France,20,Standard,13.55,Tablet,228,9,5,63,35,0,0.26395061,Low Risk
19,Male,USA,39,Basic,9.67,Tablet,312,6,13,51,26,0,0.120797579,Low Risk
29,Male,Germany,21,Standard,15.65,Mobile,135,4,6,81,45,1,0.84889855,Critical Risk
53,Female,India,46,Standard,15.02,Mobile,532,12,7,72,42,0,0.241205075,Low Risk
20,Male,France,19,Basic,9.93,Smart TV,32,1,14,27,17,0,0.214847598,Low Risk
22,Female,France,13,Premium,18.57,Smart TV,372,16,10,29,23,0,0.082152275,Low Risk
20,Female,Brazil,3,Standard,14.67,Mobile,600,18,0,71,37,0,0.128432184,Low Risk
64,Male,Germany,48,Basic,9.08,Laptop,600,17,3,57,50,1,0.535169521,Medium Risk
36,Female,USA,34,Standard,14.24,Laptop,600,15,3,91,5,0,0.026582604,Low Risk
19,Female,Germany,27,Standard,13.12,Laptop,467,18,7,39,18,0,0.071360345,Low Risk
61,Male,Spain,56,Standard,16.01,Mobile,600,17,0,81,7,0,0.037561597,Low Risk
54,Female,France,18,Standard,15.37,Smart TV,259,5,6,49,9,0,0.146012028,Low Risk
34,Male,Germany,3,Premium,21.26,Laptop,600,13,4,34,16,0,0.08898369,Low Risk
31,Male,Spain,58,Basic,11.13,Smart TV,361,13,13,91,25,0,0.00906678,Low Risk
45,Male,Brazil,37,Premium,18.64,Tablet,121,3,13,67,11,0,0.077124639,Low Risk
44,Male,Brazil,3,Basic,10.59,Laptop,156,7,10,82,3,0,0.067549398,Low Risk
27,Female,Spain,53,Standard,16.34,Laptop,402,9,10,76,35,0,0.092915948,Low Risk
20,Male,India,38,Premium,21.62,Mobile,168,3,8,86,17,0,0.098816582,Low Risk
53,Male,USA,36,Premium,21.65,Laptop,336,6,7,83,13,0,0.098337851,Low Risk
55,Female,Spain,17,Premium,20.57,Smart TV,600,14,0,72,59,1,0.61295608,High Risk
42,Male,Mexico,43,Standard,15.44,Smart TV,600,15,5,48,40,1,0.420943318,Medium Risk
39,Male,USA,26,Standard,15.59,Mobile,536,15,6,21,1,0,0.05673407,Low Risk
56,Female,Spain,47,Standard,13.23,Laptop,600,16,7,37,35,1,0.128363028,Low Risk
64,Male,Germany,18,Basic,9.77,Laptop,299,8,5,58,25,0,0.230270824,Low Risk
47,Female,Mexico,21,Standard,15.49,Tablet,121,6,4,96,1,0,0.07805728,Low Risk
38,Male,France,25,Basic,11.31,Laptop,63,2,10,65,11,0,0.092197815,Low Risk
47,Male,India,46,Basic,11.83,Tablet,600,19,3,44,39,0,0.149584886,Low Risk
45,Female,Canada,36,Basic,10.24,Mobile,40,1,11,83,28,0,0.166177876,Low Risk
48,Female,France,33,Standard,13.33,Laptop,319,7,4,27,46,1,0.909809668,Critical Risk
43,Male,Spain,31,Basic,11.75,Tablet,52,1,0,94,44,1,0.854767543,Critical Risk
60,Female,Brazil,8,Basic,9.82,Mobile,280,13,12,93,21,0,0.033217976,Low Risk
39,Male,UK,34,Standard,13.87,Tablet,509,9,5,69,51,0,0.741442739,High Risk
38,Female,USA,43,Standard,13.03,Tablet,600,14,6,23,1,0,0.038510324,Low Risk
18,Female,Brazil,40,Premium,19.62,Mobile,102,2,11,92,2,0,0.050606202,Low Risk
54,Female,Australia,54,Standard,16.03,Tablet,337,8,4,39,2,0,0.204763018,Low Risk
30,Male,Mexico,48,Standard,15.75,Mobile,600,19,11,23,5,0,0.019649081,Low Risk
38,Female,Spain,20,Basic,10.22,Tablet,600,14,7,69,9,0,0.005540133,Low Risk
63,Male,UK,37,Standard,16.6,Laptop,314,7,6,70,39,1,0.62055785,High Risk
26,Male,Australia,44,Standard,16.58,Smart TV,529,17,5,52,44,0,0.456517838,Medium Risk
34,Male,India,43,Premium,19.49,Smart TV,341,6,5,42,2,0,0.188599496,Low Risk
64,Female,Canada,59,Basic,9.47,Tablet,149,7,2,61,50,1,0.892726589,Critical Risk
38,Female,UK,26,Basic,10.23,Mobile,70,2,9,35,0,0,0.229847091,Low Risk
48,Male,Australia,48,Standard,16.91,Mobile,336,12,0,43,26,1,0.369642078,Medium Risk
56,Female,USA,25,Basic,8.97,Mobile,434,12,6,54,11,0,0.010939144,Low Risk
39,Female,Germany,29,Premium,20.83,Smart TV,600,18,11,57,2,0,0.02300509,Low Risk
29,Male,Brazil,24,Premium,21.07,Mobile,503,14,5,62,26,0,0.039263258,Low Risk
23,Other,USA,11,Standard,13.27,Smart TV,105,2,6,32,32,1,0.779145564,High Risk
33,Female,Germany,7,Premium,20.55,Laptop,455,8,12,70,12,0,0.021092336,Low Risk
43,Male,Mexico,6,Basic,10,Tablet,600,18,14,88,12,0,0.006817622,Low Risk
22,Female,UK,49,Standard,13.65,Mobile,106,3,6,49,52,1,0.949951284,Critical Risk
26,Female,USA,24,Premium,20.2,Laptop,600,11,8,43,5,0,0.038658512,Low Risk
63,Male,Australia,50,Standard,15.86,Laptop,600,14,2,74,32,0,0.105816879,Low Risk
57,Male,Spain,55,Premium,20.06,Smart TV,373,13,11,45,4,0,0.05136565,Low Risk
31,Female,Brazil,39,Basic,8.02,Smart TV,514,18,7,96,26,0,0.015319353,Low Risk
61,Male,Australia,10,Basic,8.93,Laptop,287,7,12,38,55,1,0.79553382,High Risk
59,Female,Mexico,46,Premium,20.3,Mobile,95,2,14,42,51,1,0.88550164,Critical Risk
47,Male,USA,29,Basic,8.84,Mobile,478,10,14,57,1,0,0.009161654,Low Risk
43,Female,India,41,Basic,11.53,Smart TV,280,5,9,78,0,0,0.054928417,Low Risk
62,Female,France,10,Basic,9.68,Mobile,600,16,8,63,40,0,0.041793804,Low Risk
46,Female,Brazil,5,Premium,20.43,Tablet,132,3,2,49,21,1,0.701294046,High Risk
36,Male,Mexico,51,Standard,14.83,Smart TV,406,7,3,37,7,1,0.340393515,Medium Risk
64,Female,Australia,46,Standard,15.12,Smart TV,600,18,3,98,39,0,0.061869712,Low Risk
25,Male,Spain,36,Basic,9.47,Mobile,600,13,12,40,37,1,0.248185671,Low Risk
40,Female,Australia,13,Standard,13.62,Laptop,549,13,8,86,47,1,0.384507889,Medium Risk
59,Male,USA,25,Basic,9.54,Mobile,600,18,11,51,34,0,0.033552279,Low Risk
52,Female,Spain,11,Premium,18.78,Tablet,231,6,14,82,46,0,0.371202311,Medium Risk
48,Male,Germany,4,Standard,16.84,Tablet,396,7,6,94,57,1,0.689583139,High Risk
52,Female,Canada,33,Premium,18.93,Smart TV,39,1,13,29,46,1,0.93240796,Critical Risk
49,Female,USA,16,Standard,16.35,Mobile,285,8,3,32,57,1,0.906009261,Critical Risk
22,Female,Brazil,50,Basic,10.77,Laptop,121,5,4,63,54,1,0.83359728,Critical Risk
33,Male,Spain,39,Standard,14.28,Smart TV,98,2,5,82,36,0,0.540248374,Medium Risk
34,Male,France,41,Standard,14.21,Tablet,523,17,7,88,26,0,0.012968185,Low Risk
49,Female,France,47,Premium,21.43,Mobile,600,18,12,45,6,0,0.016043804,Low Risk
55,Male,Brazil,40,Basic,8.94,Mobile,533,10,3,66,14,0,0.080834083,Low Risk
49,Male,Spain,44,Premium,20.05,Tablet,99,2,4,56,41,1,0.966294557,Critical Risk
37,Male,Australia,33,Premium,20.61,Laptop,147,7,9,45,41,0,0.556037857,Medium Risk
19,Female,India,16,Basic,9.88,Mobile,137,4,10,68,18,0,0.041758439,Low Risk
37,Male,Canada,52,Premium,21.49,Smart TV,600,18,2,47,43,1,0.647195217,High Risk
64,Female,Canada,14,Premium,19.5,Tablet,425,19,8,74,2,0,0.00706165,Low Risk
35,Male,India,15,Basic,8.61,Laptop,40,1,7,95,5,0,0.119171462,Low Risk
18,Female,UK,57,Standard,16.81,Mobile,600,12,9,60,4,0,0.030923002,Low Risk
46,Male,France,43,Standard,16.79,Mobile,370,14,3,66,53,0,0.477025199,Medium Risk
46,Female,Brazil,36,Premium,19.6,Smart TV,600,16,2,29,36,1,0.347460023,Medium Risk
36,Male,Australia,36,Basic,10.03,Laptop,317,6,5,93,48,1,0.620878935,High Risk
61,Male,France,40,Standard,13.23,Mobile,468,10,13,40,19,0,0.042129793,Low Risk
57,Male,Brazil,59,Basic,10.66,Tablet,600,19,1,72,36,0,0.068610098,Low Risk
23,Male,Canada,32,Premium,21.12,Mobile,600,17,11,34,8,0,0.020317067,Low Risk
61,Female,France,22,Premium,21.91,Tablet,63,2,2,58,47,1,0.958239198,Critical Risk
56,Female,USA,51,Standard,15.93,Laptop,40,1,12,83,23,0,0.121917857,Low Risk
63,Male,Brazil,47,Premium,21.32,Laptop,600,19,3,44,43,1,0.644811087,High Risk
25,Female,Mexico,56,Standard,16.42,Laptop,189,4,0,22,28,1,0.830401661,Critical Risk
41,Female,Australia,53,Basic,8.49,Tablet,600,14,4,76,54,1,0.460728556,Medium Risk
37,Female,Canada,2,Standard,15.57,Smart TV,414,11,6,57,12,0,0.040685965,Low Risk
31,Male,USA,9,Standard,15.05,Mobile,600,19,13,81,56,0,0.070853485,Low Risk
22,Male,Spain,44,Premium,21.89,Laptop,413,11,7,63,50,1,0.772180681,High Risk
58,Male,Mexico,28,Basic,8.9,Mobile,463,8,2,27,53,1,0.833314244,Critical Risk
57,Male,Brazil,46,Basic,10.2,Tablet,600,18,4,79,20,0,0.027488958,Low Risk
51,Female,India,43,Premium,20.29,Smart TV,174,4,4,36,5,0,0.428258141,Medium Risk
33,Male,USA,9,Basic,8.62,Laptop,90,2,10,40,40,1,0.792605379,High Risk
62,Male,India,40,Premium,19.48,Mobile,600,15,2,80,13,0,0.033027323,Low Risk
24,Female,USA,34,Basic,11.5,Mobile,229,9,8,26,36,1,0.553051692,Medium Risk
33,Male,UK,1,Premium,21.04,Smart TV,340,14,8,81,12,0,0.013345595,Low Risk
24,Male,Australia,43,Basic,9.81,Laptop,600,19,10,87,25,0,0.010342043,Low Risk
44,Male,Brazil,27,Premium,21.03,Smart TV,30,1,1,82,40,1,0.919206268,Critical Risk
31,Female,Mexico,10,Premium,18.14,Laptop,115,4,4,67,41,1,0.859734228,Critical Risk
